xflr5 v6.62

 Calculated polar for: NACA 2415

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000

  alpha     CL        CD       CDp       Cm    Top Xtr Bot Xtr   Cpmin    Chinge    XCp    
 ------- -------- --------- --------- -------- ------- ------- -------- --------- ---------
  -4.000  -0.1918   0.00956   0.00350  -0.0570  0.8664  0.2190  -1.4315   0.0000   0.0000   0.0000  -0.0623
  -3.000  -0.0844   0.00883   0.00291  -0.0557  0.8216  0.3017  -1.1018   0.0000   0.0000   0.0000  -0.4331
  -2.000   0.0223   0.00824   0.00252  -0.0542  0.7693  0.4090  -0.8297   0.0000   0.0000   0.0000   2.7305
  -1.000   0.1268   0.00773   0.00233  -0.0523  0.7125  0.5698  -0.6108   0.0000   0.0000   0.0000   0.6655
   1.000   0.3340   0.00751   0.00257  -0.0472  0.6000  0.8411  -0.7730   0.0000   0.0000   0.0000   0.3874
   2.000   0.4405   0.00788   0.00294  -0.0448  0.5512  0.9318  -0.8924   0.0000   0.0000   0.0000   0.3466
   3.000   0.5741   0.00856   0.00341  -0.0488  0.5041  0.9763  -1.0608   0.0000   0.0000   0.0000   0.3290
   5.000   0.8465   0.00974   0.00423  -0.0600  0.4066  1.0000  -1.6008   0.0000   0.0000   0.0000   0.3129
   6.000   0.9279   0.01044   0.00476  -0.0541  0.3542  1.0000  -1.9025   0.0000   0.0000   0.0000   0.2993
   7.000   1.0066   0.01149   0.00554  -0.0479  0.2936  1.0000  -2.2480   0.0000   0.0000   0.0000   0.2874
   8.000   1.0861   0.01287   0.00667  -0.0422  0.2283  1.0000  -2.6437   0.0000   0.0000   0.0000   0.2774
   9.000   1.1610   0.01470   0.00820  -0.0363  0.1660  1.0000  -3.0739   0.0000   0.0000   0.0000   0.2685
  10.000   1.2220   0.01692   0.01021  -0.0284  0.1188  1.0000  -3.5198   0.0000   0.0000   0.0000   0.2590
  11.000   1.2762   0.01973   0.01291  -0.0207  0.0870  1.0000  -3.9609   0.0000   0.0000   0.0000   0.2505
  12.000   1.3278   0.02305   0.01634  -0.0142  0.0692  1.0000  -4.4060   0.0000   0.0000   0.0000   0.2433
  13.000   1.3644   0.02794   0.02136  -0.0082  0.0573  1.0000  -4.8707   0.0000   0.0000   0.0000   0.2367
  14.000   1.3869   0.03485   0.02845  -0.0038  0.0487  1.0000  -5.2887   0.0000   0.0000   0.0000   0.2314


