xflr5 v6.62

 Calculated polar for: NACA 0012

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000

  alpha     CL        CD       CDp       Cm    Top Xtr Bot Xtr   Cpmin    Chinge    XCp    
 ------- -------- --------- --------- -------- ------- ------- -------- --------- ---------
  -4.000  -0.4800   0.00898   0.00338   0.0040  0.9851  0.3135  -1.5259   0.0000   0.0000   0.0000   0.2530
  -3.000  -0.3334   0.00785   0.00279  -0.0037  0.9684  0.4540  -1.0691   0.0000   0.0000   0.0000   0.2336
  -2.000  -0.2100   0.00694   0.00236  -0.0056  0.9338  0.5785  -0.7582   0.0000   0.0000   0.0000   0.2184
  -1.000  -0.1036   0.00636   0.00204  -0.0031  0.8750  0.6898  -0.5541   0.0000   0.0000   0.0000   0.2148
   0.000   0.0000   0.00615   0.00195  -0.0000  0.7915  0.7915  -0.4147   0.0000   0.0000   0.0000   0.4580
   1.000   0.1036   0.00636   0.00204   0.0031  0.6898  0.8751  -0.5541   0.0000   0.0000   0.0000   0.2148
   2.000   0.2100   0.00694   0.00236   0.0056  0.5785  0.9338  -0.7582   0.0000   0.0000   0.0000   0.2184
   3.000   0.3334   0.00785   0.00279   0.0037  0.4541  0.9684  -1.0691   0.0000   0.0000   0.0000   0.2336
   4.000   0.4800   0.00898   0.00338  -0.0040  0.3135  0.9851  -1.5260   0.0000   0.0000   0.0000   0.2530
   6.000   0.7219   0.01167   0.00509  -0.0102  0.0992  1.0000  -2.6427   0.0000   0.0000   0.0000   0.2573
   7.000   0.8043   0.01310   0.00634  -0.0049  0.0637  1.0000  -3.1964   0.0000   0.0000   0.0000   0.2485
   8.000   0.8832   0.01499   0.00828   0.0009  0.0465  1.0000  -3.8464   0.0000   0.0000   0.0000   0.2403
   9.000   0.9611   0.01723   0.01062   0.0066  0.0361  1.0000  -4.5216   0.0000   0.0000   0.0000   0.2334
  10.000   1.0452   0.01918   0.01279   0.0107  0.0305  1.0000  -5.2626   0.0000   0.0000   0.0000   0.2287
  11.000   1.1074   0.02339   0.01732   0.0172  0.0262  1.0000  -5.8731   0.0000   0.0000   0.0000   0.2222
  12.000   1.1664   0.02689   0.02123   0.0234  0.0238  1.0000  -6.5286   0.0000   0.0000   0.0000   0.2161
  13.000   1.2021   0.03134   0.02601   0.0304  0.0214  1.0000  -7.2284   0.0000   0.0000   0.0000   0.2093
  14.000   1.1684   0.04459   0.03998   0.0342  0.0188  1.0000  -7.3621   0.0000   0.0000   0.0000   0.2035


